2024-08-24 09:23:46.710 +08:00 [INF] Main (StartingAsync) | Starting at: 2024/8/24 9:23:46 +08:00
2024-08-24 09:26:32.584 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-24 09:26:42.595 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:26:42.595 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-24 09:26:42.595 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:26:42.602 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-24 09:26:52.607 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:26:52.607 +08:00 [INF] Main (StartedAsync) |         Retrieve System Config.
2024-08-24 09:26:52.607 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:26:52.610 +08:00 [INF] Main (StartedAsync) | Send Email Function: Enabled, Interval Every 10 Secs
2024-08-24 09:26:52.610 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:26:52.610 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-24 09:26:52.610 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:26:52.616 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-24 09:27:04.936 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:27:04.936 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-24 09:27:04.936 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:27:04.946 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-24 09:27:16.928 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:27:16.928 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-24 09:27:16.928 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:27:16.937 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-24 09:27:26.946 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:27:26.946 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-24 09:27:26.946 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:27:26.959 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-24 09:27:40.681 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:27:40.681 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-24 09:27:40.682 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:27:40.793 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-24 09:27:50.798 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:27:50.798 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-24 09:27:50.798 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:27:50.803 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-24 09:28:00.813 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:28:00.813 +08:00 [INF] Main (StartedAsync) |         Retrieve System Config.
2024-08-24 09:28:00.813 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:28:00.816 +08:00 [INF] Main (StartedAsync) | Send Email Function: Enabled, Interval Every 10 Secs
2024-08-24 09:28:00.816 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:28:00.816 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-24 09:28:00.816 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:28:00.825 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-24 09:28:10.828 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:28:10.828 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-24 09:28:10.828 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:28:10.834 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-24 09:28:20.846 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:28:20.846 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-24 09:28:20.846 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:28:20.854 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-24 09:28:33.535 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:28:33.535 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-24 09:28:33.535 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:28:33.544 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-24 09:28:43.553 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:28:43.553 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-24 09:28:43.553 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:28:43.668 +08:00 [INF] Main (StartedAsync) | Total emails to be sent: 1
2024-08-24 09:28:43.668 +08:00 [INF] Main (StartedAsync) | Processing Email No. 1, Email Id: 20240824092833290894, Recipient Name: Kai Xuan, Recipient Email: kaixuan0131@gmail.com
2024-08-24 09:28:46.301 +08:00 [INF] Main (SendEmailAsync) | Email Sent Succesful.
2024-08-24 09:28:46.358 +08:00 [INF] DBL (UpdateEmailAsync) | Update Email Successful. Email Id: 20240824092833290894, Status: Completed
2024-08-24 09:28:46.358 +08:00 [INF] Main (StartedAsync) | Send Email Progress Completed. Total Success: 1, Total Failure: 0.
2024-08-24 09:28:56.360 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:28:56.360 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-24 09:28:56.360 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:28:56.365 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-24 09:29:06.369 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:29:06.369 +08:00 [INF] Main (StartedAsync) |         Retrieve System Config.
2024-08-24 09:29:06.369 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:29:06.373 +08:00 [INF] Main (StartedAsync) | Send Email Function: Enabled, Interval Every 10 Secs
2024-08-24 09:29:06.373 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:29:06.373 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-24 09:29:06.373 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:29:06.381 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-24 09:29:16.384 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:29:16.384 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-24 09:29:16.384 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:29:16.391 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-24 09:31:16.146 +08:00 [INF] Main (StartingAsync) | Starting at: 2024/8/24 9:31:16 +08:00
2024-08-24 09:31:16.176 +08:00 [INF] Main (StartAsync) | Start at: 2024/8/24 9:31:16 +08:00
2024-08-24 09:31:16.180 +08:00 [INF] Main (StartedAsync) | Started at: 2024/8/24 9:31:16 +08:00
2024-08-24 09:31:16.180 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:31:16.180 +08:00 [INF] Main (StartedAsync) |         Retrieve System Config.
2024-08-24 09:31:16.180 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:31:18.769 +08:00 [INF] Main (StartedAsync) | Send Email Function: Enabled, Interval Every 10 Secs
2024-08-24 09:31:18.769 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:31:18.769 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-24 09:31:18.769 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:31:18.899 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-24 09:31:28.909 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:31:28.909 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-24 09:31:28.909 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:31:28.920 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-24 09:31:41.446 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:31:41.446 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-24 09:31:41.446 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:31:41.455 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-24 09:31:51.460 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:31:51.460 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-24 09:31:51.460 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:31:51.512 +08:00 [INF] Main (StartedAsync) | Total emails to be sent: 1
2024-08-24 09:31:51.512 +08:00 [INF] Main (StartedAsync) | Processing Email No. 1, Email Id: 20240824093141999476, Recipient Name: Kai Xuan, Recipient Email: kaixuan0131@gmail.com
2024-08-24 09:31:54.377 +08:00 [INF] Main (SendEmailAsync) | Email Sent Succesful.
2024-08-24 09:31:54.615 +08:00 [INF] DBL (UpdateEmailAsync) | Update Email Successful. Email Id: 20240824093141999476, Status: Completed
2024-08-24 09:31:54.616 +08:00 [INF] Main (StartedAsync) | Send Email Progress Completed. Total Success: 1, Total Failure: 0.
2024-08-24 09:32:04.630 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:32:04.631 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-24 09:32:04.631 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:32:04.690 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-24 09:32:18.551 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:32:18.551 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-24 09:32:18.552 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:32:18.565 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-24 09:32:28.572 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:32:28.572 +08:00 [INF] Main (StartedAsync) |         Retrieve System Config.
2024-08-24 09:32:28.572 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:32:28.580 +08:00 [INF] Main (StartedAsync) | Send Email Function: Enabled, Interval Every 10 Secs
2024-08-24 09:32:28.582 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:32:28.582 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-24 09:32:28.582 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:32:28.587 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-24 09:32:38.589 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:32:38.590 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-24 09:32:38.590 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:32:38.599 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-24 09:32:48.602 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:32:48.602 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-24 09:32:48.602 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:32:48.610 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-24 09:32:58.621 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:32:58.622 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-24 09:32:58.622 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:32:58.714 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-24 09:33:08.720 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:33:08.720 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-24 09:33:08.720 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:33:08.769 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-24 09:44:02.701 +08:00 [INF] Main (StartingAsync) | Starting at: 2024/8/24 9:44:02 +08:00
2024-08-24 09:44:02.725 +08:00 [INF] Main (StartAsync) | Start at: 2024/8/24 9:44:02 +08:00
2024-08-24 09:44:02.727 +08:00 [INF] Main (StartedAsync) | Started at: 2024/8/24 9:44:02 +08:00
2024-08-24 09:44:02.727 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:44:02.727 +08:00 [INF] Main (StartedAsync) |         Retrieve System Config.
2024-08-24 09:44:02.727 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:44:04.769 +08:00 [INF] Main (StartedAsync) | Send Email Function: Enabled, Interval Every 10 Secs
2024-08-24 09:44:04.769 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:44:04.769 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-24 09:44:04.769 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:44:04.914 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-24 09:44:14.919 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:44:14.920 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-24 09:44:14.920 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:44:14.932 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-24 09:44:24.946 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:44:24.946 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-24 09:44:24.946 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:44:24.952 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-24 09:44:34.958 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:44:34.958 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-24 09:44:34.958 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:44:34.966 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-24 09:44:44.982 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:44:44.982 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-24 09:44:44.982 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:44:44.989 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-24 09:44:54.991 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:44:54.992 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-24 09:44:54.992 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:44:54.999 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-24 09:45:05.001 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:45:05.001 +08:00 [INF] Main (StartedAsync) |         Retrieve System Config.
2024-08-24 09:45:05.001 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:45:05.143 +08:00 [INF] Main (StartedAsync) | Send Email Function: Enabled, Interval Every 10 Secs
2024-08-24 09:45:05.143 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:45:05.143 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-24 09:45:05.143 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:45:05.149 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-24 09:45:15.155 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:45:15.156 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-24 09:45:15.156 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:45:15.164 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-24 09:45:25.171 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:45:25.171 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-24 09:45:25.171 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:45:25.178 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-24 09:45:35.191 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:45:35.191 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-24 09:45:35.192 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:45:35.201 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-24 09:45:45.209 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:45:45.209 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-24 09:45:45.209 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:45:45.215 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-24 09:45:55.227 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:45:55.227 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-24 09:45:55.227 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:45:55.233 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-24 09:46:05.240 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:46:05.240 +08:00 [INF] Main (StartedAsync) |         Retrieve System Config.
2024-08-24 09:46:05.240 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:46:05.244 +08:00 [INF] Main (StartedAsync) | Send Email Function: Enabled, Interval Every 10 Secs
2024-08-24 09:46:05.244 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:46:05.244 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-24 09:46:05.244 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:46:05.249 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-24 09:46:15.261 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:46:15.261 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-24 09:46:15.261 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:46:15.382 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-24 09:46:25.383 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:46:25.383 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-24 09:46:25.383 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:46:25.393 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-24 09:46:35.407 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:46:35.407 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-24 09:46:35.407 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:46:35.415 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-24 09:46:45.421 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:46:45.421 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-24 09:46:45.421 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:46:45.428 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-24 09:46:55.435 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:46:55.435 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-24 09:46:55.435 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:46:55.443 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-24 09:47:05.455 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:47:05.455 +08:00 [INF] Main (StartedAsync) |         Retrieve System Config.
2024-08-24 09:47:05.455 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:47:17.220 +08:00 [INF] Main (StartedAsync) | Send Email Function: Enabled, Interval Every 10 Secs
2024-08-24 09:47:17.220 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:47:17.220 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-24 09:47:17.220 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:47:17.258 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-24 09:47:27.270 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
