2024-08-27 00:35:59.943 +08:00 [INF] Main (StartingAsync) | Starting at: 2024/8/27 0:35:59 +08:00
2024-08-27 00:38:46.935 +08:00 [INF] Main (StartedAsync) | Send Email Progress Completed. Total Success: 1, Total Failure: 0.
2024-08-27 00:38:56.946 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-27 00:38:56.946 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-27 00:38:56.946 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-27 00:38:56.952 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-27 00:39:06.959 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-27 00:39:06.959 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-27 00:39:06.959 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-27 00:39:06.966 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-27 00:39:16.967 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-27 00:39:16.968 +08:00 [INF] Main (StartedAsync) |         Retrieve System Config.
2024-08-27 00:39:16.968 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-27 00:39:16.973 +08:00 [INF] Main (StartedAsync) | Send Email Function: Enabled, Interval Every 10 Secs
2024-08-27 00:39:16.973 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-27 00:39:16.973 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-27 00:39:16.973 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-27 00:39:16.977 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-27 00:39:26.992 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-27 00:39:26.993 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-27 00:39:26.993 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-27 00:39:27.000 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-27 00:39:37.009 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-27 00:39:37.009 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-27 00:39:37.009 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-27 00:39:37.017 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-27 00:39:47.027 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-27 00:39:47.028 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-27 00:39:47.028 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-27 00:39:47.033 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-27 00:39:57.037 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-27 00:39:57.037 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-27 00:39:57.037 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-27 00:39:57.044 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-27 00:40:07.050 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-27 00:40:07.050 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-27 00:40:07.050 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-27 00:40:07.059 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-27 00:40:17.063 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-27 00:40:17.063 +08:00 [INF] Main (StartedAsync) |         Retrieve System Config.
2024-08-27 00:40:17.063 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-27 00:40:17.066 +08:00 [INF] Main (StartedAsync) | Send Email Function: Enabled, Interval Every 10 Secs
2024-08-27 00:40:17.066 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-27 00:40:17.066 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-27 00:40:17.066 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-27 00:40:17.076 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-27 00:40:27.090 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-27 00:40:27.090 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-27 00:40:27.090 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-27 00:40:27.098 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-27 00:40:37.103 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-27 00:40:37.103 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-27 00:40:37.103 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-27 00:40:37.110 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
