2024-08-28 19:34:42.991 +08:00 [INF] Main (StartingAsync) | Starting at: 2024/8/28 19:34:42 +08:00
2024-08-28 19:36:30.008 +08:00 [INF] Main (StartedAsync) | Send Email Progress Completed. Total Success: 1, Total Failure: 0.
2024-08-28 21:21:31.139 +08:00 [INF] Main (StartingAsync) | Starting at: 2024/8/28 21:21:31 +08:00
2024-08-28 21:21:31.295 +08:00 [INF] Main (StartAsync) | Start at: 2024/8/28 21:21:31 +08:00
2024-08-28 21:21:31.297 +08:00 [INF] Main (StartedAsync) | Started at: 2024/8/28 21:21:31 +08:00
2024-08-28 21:21:31.297 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 21:21:31.297 +08:00 [INF] Main (StartedAsync) |         Retrieve System Config.
2024-08-28 21:21:31.297 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 21:21:51.999 +08:00 [INF] Main (StartingAsync) | Starting at: 2024/8/28 21:21:51 +08:00
2024-08-28 21:21:52.031 +08:00 [INF] Main (StartAsync) | Start at: 2024/8/28 21:21:52 +08:00
2024-08-28 21:21:52.034 +08:00 [INF] Main (StartedAsync) | Started at: 2024/8/28 21:21:52 +08:00
2024-08-28 21:21:52.034 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 21:21:52.034 +08:00 [INF] Main (StartedAsync) |         Retrieve System Config.
2024-08-28 21:21:52.034 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 21:21:57.902 +08:00 [INF] Main (StartedAsync) | Send Email Function: Enabled, Interval Every 10 Secs
2024-08-28 21:21:57.903 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 21:21:57.903 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-28 21:21:57.903 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 21:21:58.478 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-28 21:22:08.478 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 21:22:08.478 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-28 21:22:08.478 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 21:22:08.577 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-28 21:29:57.107 +08:00 [INF] Main (StartingAsync) | Starting at: 2024/8/28 21:29:57 +08:00
2024-08-28 21:29:57.149 +08:00 [INF] Main (StartAsync) | Start at: 2024/8/28 21:29:57 +08:00
2024-08-28 21:29:57.153 +08:00 [INF] Main (StartedAsync) | Started at: 2024/8/28 21:29:57 +08:00
2024-08-28 21:29:57.153 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 21:29:57.153 +08:00 [INF] Main (StartedAsync) |         Retrieve System Config.
2024-08-28 21:29:57.153 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 21:29:59.821 +08:00 [INF] Main (StartedAsync) | Send Email Function: Enabled, Interval Every 10 Secs
2024-08-28 21:29:59.821 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 21:29:59.821 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-28 21:29:59.821 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 21:29:59.964 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-28 21:40:37.401 +08:00 [INF] Main (StartingAsync) | Starting at: 2024/8/28 21:40:37 +08:00
2024-08-28 21:40:37.448 +08:00 [INF] Main (StartAsync) | Start at: 2024/8/28 21:40:37 +08:00
2024-08-28 21:40:37.453 +08:00 [INF] Main (StartedAsync) | Started at: 2024/8/28 21:40:37 +08:00
2024-08-28 21:40:37.453 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 21:40:37.453 +08:00 [INF] Main (StartedAsync) |         Retrieve System Config.
2024-08-28 21:40:37.453 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 21:40:39.788 +08:00 [INF] Main (StartedAsync) | Send Email Function: Enabled, Interval Every 10 Secs
2024-08-28 21:40:39.788 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 21:40:39.788 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-28 21:40:39.788 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 21:40:39.992 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
